35973, 5190, 2
23733, 53, 2
25148, 6881, 2
3962, 25, 2
47392, 31687, 2
46902, 53080, 2
24563, 80, 2
8754, 80, 2
4903, 5260, 2
16592, 6881, 2
16592, 6881, 2
16592, 6881, 2
65212, 25, 2
40873, 80, 2
37131, 39649, 2
37131, 39649, 2
10935, 22, 2
55760, 6881, 2
65212, 25, 2
21590, 36326, 2
62019, 6881, 2
54634, 6881, 2
53893, 143, 2
51650, 28296, 2
10935, 22, 2
44270, 1263, 2
64429, 6881, 2
10935, 22, 2
10935, 22, 2
40873, 80, 2
10935, 22, 2
40873, 80, 2
10935, 22, 2
64429, 6881, 2
52555, 50755, 2
8754, 80, 2
8879, 5766, 2
63186, 6881, 2
63186, 6881, 2
57628, 6881, 2
35664, 41905, 2
43922, 25, 2
56435, 6881, 2
36678, 5190, 2
1327, 35478, 2
21334, 63278, 2
56435, 6881, 2
56435, 6881, 2
27533, 61921, 2
63186, 6881, 2
32203, 6881, 2
63186, 6881, 2
56435, 6881, 2
3192, 143, 2
56435, 6881, 2
58050, 6881, 2
58050, 6881, 2
19983, 6881, 2
58050, 6881, 2
41911, 28009, 2
19983, 6881, 2
29980, 6881, 2
63995, 14747, 2
19414, 17580, 2
29980, 6881, 2
22785, 28001, 2
31294, 6881, 2
37229, 6881, 2
37229, 6881, 2
10018, 6881, 2
7542, 6881, 2
21416, 5190, 2
36837, 6881, 2
36837, 6881, 2
11527, 143, 2
36695, 15926, 2
36837, 6881, 2
23542, 21414, 2
23542, 21414, 2
24564, 59194, 2
32923, 6881, 2
25301, 22, 2
32923, 6881, 2
1087, 6881, 2
1087, 6881, 2
64429, 6881, 2
4380, 5432, 2
64429, 6881, 2
8754, 80, 2
64429, 6881, 2
64337, 9794, 2
21058, 36806, 2
1087, 6881, 2
1087, 6881, 2
26428, 21, 2
